nodeType_addr	nodeType_addr	type	
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_1540096	Flag_1540096	IS_ANNOTATED_BY
Root_1540096	Flag_1540096	IS_ANNOTATED_BY
Root_134512640	Flag_134512640	IS_ANNOTATED_BY
Root_134512640	Flag_134512640	IS_ANNOTATED_BY
Root_134512692	Flag_134512692	IS_ANNOTATED_BY
Root_134512948	Flag_134512948	IS_ANNOTATED_BY
Root_134512948	Flag_134512948	IS_ANNOTATED_BY
Root_134512948	Flag_134512948	IS_ANNOTATED_BY
Root_134512968	Flag_134512968	IS_ANNOTATED_BY
Root_134512968	Flag_134512968	IS_ANNOTATED_BY
Root_134512968	Flag_134512968	IS_ANNOTATED_BY
Root_134513000	Flag_134513000	IS_ANNOTATED_BY
Root_134513000	Flag_134513000	IS_ANNOTATED_BY
Root_134513152	Flag_134513152	IS_ANNOTATED_BY
Root_134513152	Flag_134513152	IS_ANNOTATED_BY
Root_134513456	Flag_134513456	IS_ANNOTATED_BY
Root_134513456	Flag_134513456	IS_ANNOTATED_BY
Root_134513832	Flag_134513832	IS_ANNOTATED_BY
Root_134513832	Flag_134513832	IS_ANNOTATED_BY
Root_134513872	Flag_134513872	IS_ANNOTATED_BY
Root_134513872	Flag_134513872	IS_ANNOTATED_BY
Root_134514000	Flag_134514000	IS_ANNOTATED_BY
Root_134514000	Flag_134514000	IS_ANNOTATED_BY
Root_134514032	Flag_134514032	IS_ANNOTATED_BY
Root_134514032	Flag_134514032	IS_ANNOTATED_BY
Root_134514120	Flag_134514120	IS_ANNOTATED_BY
Root_134514120	Flag_134514120	IS_ANNOTATED_BY
Root_134514120	Flag_134514120	IS_ANNOTATED_BY
Root_134514176	Flag_134514176	IS_ANNOTATED_BY
Root_134514176	Flag_134514176	IS_ANNOTATED_BY
Root_134514192	Flag_134514192	IS_ANNOTATED_BY
Root_134514208	Flag_134514208	IS_ANNOTATED_BY
Root_134514224	Flag_134514224	IS_ANNOTATED_BY
Root_134514240	Flag_134514240	IS_ANNOTATED_BY
Root_134514256	Flag_134514256	IS_ANNOTATED_BY
Root_134514272	Flag_134514272	IS_ANNOTATED_BY
Root_134514288	Flag_134514288	IS_ANNOTATED_BY
Root_134514304	Flag_134514304	IS_ANNOTATED_BY
Root_134514320	Flag_134514320	IS_ANNOTATED_BY
Root_134514336	Flag_134514336	IS_ANNOTATED_BY
Root_134514352	Flag_134514352	IS_ANNOTATED_BY
Root_134514368	Flag_134514368	IS_ANNOTATED_BY
Root_134514368	Flag_134514368	IS_ANNOTATED_BY
Root_134514368	Flag_134514368	IS_ANNOTATED_BY
Root_134514368	Flag_134514368	IS_ANNOTATED_BY
Root_134514368	Flag_134514368	IS_ANNOTATED_BY
Root_134514416	Flag_134514416	IS_ANNOTATED_BY
Root_134514464	Flag_134514464	IS_ANNOTATED_BY
Root_134514528	Flag_134514528	IS_ANNOTATED_BY
Root_134514608	Flag_134514608	IS_ANNOTATED_BY
Root_134514656	Flag_134514656	IS_ANNOTATED_BY
Root_134514885	Flag_134514885	IS_ANNOTATED_BY
Root_134514885	Flag_134514885	IS_ANNOTATED_BY
Root_134515046	Flag_134515046	IS_ANNOTATED_BY
Root_134515109	Flag_134515109	IS_ANNOTATED_BY
Root_134515137	Flag_134515137	IS_ANNOTATED_BY
Root_134515137	Flag_134515137	IS_ANNOTATED_BY
Root_134515184	Flag_134515184	IS_ANNOTATED_BY
Root_134515200	Flag_134515200	IS_ANNOTATED_BY
Root_134515290	Flag_134515290	IS_ANNOTATED_BY
Root_134515296	Flag_134515296	IS_ANNOTATED_BY
Root_134515336	Flag_134515336	IS_ANNOTATED_BY
Root_134515336	Flag_134515336	IS_ANNOTATED_BY
