nodeType_addr	nodeType_addr	type	
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_0	Flag_0	IS_ANNOTATED_BY
Root_1540096	Flag_1540096	IS_ANNOTATED_BY
Root_1540096	Flag_1540096	IS_ANNOTATED_BY
Root_134512640	Flag_134512640	IS_ANNOTATED_BY
Root_134512640	Flag_134512640	IS_ANNOTATED_BY
Root_134512692	Flag_134512692	IS_ANNOTATED_BY
Root_134512948	Flag_134512948	IS_ANNOTATED_BY
Root_134512948	Flag_134512948	IS_ANNOTATED_BY
Root_134512948	Flag_134512948	IS_ANNOTATED_BY
Root_134512968	Flag_134512968	IS_ANNOTATED_BY
Root_134512968	Flag_134512968	IS_ANNOTATED_BY
Root_134512968	Flag_134512968	IS_ANNOTATED_BY
Root_134513000	Flag_134513000	IS_ANNOTATED_BY
Root_134513000	Flag_134513000	IS_ANNOTATED_BY
Root_134513080	Flag_134513080	IS_ANNOTATED_BY
Root_134513080	Flag_134513080	IS_ANNOTATED_BY
Root_134513320	Flag_134513320	IS_ANNOTATED_BY
Root_134513320	Flag_134513320	IS_ANNOTATED_BY
Root_134513622	Flag_134513622	IS_ANNOTATED_BY
Root_134513622	Flag_134513622	IS_ANNOTATED_BY
Root_134513652	Flag_134513652	IS_ANNOTATED_BY
Root_134513652	Flag_134513652	IS_ANNOTATED_BY
Root_134513732	Flag_134513732	IS_ANNOTATED_BY
Root_134513732	Flag_134513732	IS_ANNOTATED_BY
Root_134513756	Flag_134513756	IS_ANNOTATED_BY
Root_134513756	Flag_134513756	IS_ANNOTATED_BY
Root_134513820	Flag_134513820	IS_ANNOTATED_BY
Root_134513820	Flag_134513820	IS_ANNOTATED_BY
Root_134513820	Flag_134513820	IS_ANNOTATED_BY
Root_134513872	Flag_134513872	IS_ANNOTATED_BY
Root_134513872	Flag_134513872	IS_ANNOTATED_BY
Root_134513888	Flag_134513888	IS_ANNOTATED_BY
Root_134513904	Flag_134513904	IS_ANNOTATED_BY
Root_134513920	Flag_134513920	IS_ANNOTATED_BY
Root_134513936	Flag_134513936	IS_ANNOTATED_BY
Root_134513952	Flag_134513952	IS_ANNOTATED_BY
Root_134513968	Flag_134513968	IS_ANNOTATED_BY
Root_134513984	Flag_134513984	IS_ANNOTATED_BY
Root_134514000	Flag_134514000	IS_ANNOTATED_BY
Root_134514016	Flag_134514016	IS_ANNOTATED_BY
Root_134514016	Flag_134514016	IS_ANNOTATED_BY
Root_134514016	Flag_134514016	IS_ANNOTATED_BY
Root_134514016	Flag_134514016	IS_ANNOTATED_BY
Root_134514016	Flag_134514016	IS_ANNOTATED_BY
Root_134514064	Flag_134514064	IS_ANNOTATED_BY
Root_134514112	Flag_134514112	IS_ANNOTATED_BY
Root_134514176	Flag_134514176	IS_ANNOTATED_BY
Root_134514256	Flag_134514256	IS_ANNOTATED_BY
Root_134514304	Flag_134514304	IS_ANNOTATED_BY
Root_134514304	Flag_134514304	IS_ANNOTATED_BY
Root_134514914	Flag_134514914	IS_ANNOTATED_BY
Root_134514977	Flag_134514977	IS_ANNOTATED_BY
Root_134515008	Flag_134515008	IS_ANNOTATED_BY
Root_134515024	Flag_134515024	IS_ANNOTATED_BY
Root_134515114	Flag_134515114	IS_ANNOTATED_BY
Root_134515120	Flag_134515120	IS_ANNOTATED_BY
Root_134515160	Flag_134515160	IS_ANNOTATED_BY
Root_134515160	Flag_134515160	IS_ANNOTATED_BY
Root_134515160	Flag_134515160	IS_ANNOTATED_BY
Root_134515188	Flag_134515188	IS_ANNOTATED_BY
Root_134515188	Flag_134515188	IS_ANNOTATED_BY
Root_134515188	Flag_134515188	IS_ANNOTATED_BY
Root_134515192	Flag_134515192	IS_ANNOTATED_BY
Root_134515198	Flag_134515198	IS_ANNOTATED_BY
Root_134515220	Flag_134515220	IS_ANNOTATED_BY
Root_134515230	Flag_134515230	IS_ANNOTATED_BY
